urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,user,city,published,expire,date_scrapped,seen
0,0,0,1,1190,0,0,0,0,-,roland jx 3p + mode machine dt 200 ,moog1406,Girona,2022/05/10,2022/09/14,2022/08/30,490
0,0,0,1,45,0,0,0,0,-,eurorack case 70hp model d ,Morphido,Madrid,2020/12/12,2022/10/26,2022/08/30,2262
0,0,0,1,400,0,0,0,0,-,vermona drm mkii ,MZ,Burgos,2021/10/22,2022/10/24,2022/08/30,856
0,0,0,1,150,0,0,0,0,-,roland d110 – sintetizador digital + tarjeta pn-d10-01 ,alcachofazul,Madrid,2022/07/29,2022/09/25,2022/08/30,360
0,1,0,0,0,0,0,0,0,-,landscape stereo field ,Joel,Zaragoza,2022/08/09,2022/10/07,2022/08/30,156
0,1,1,0,0,0,0,0,0,-,modulos mutable instruments ,Sonitec,Valencia,2022/08/16,2022/10/13,2022/08/30,180
0,0,0,1,490,0,0,0,0,-,sintetizador dsi tetra envío incluido ,djoy,Albacete,2022/08/26,2022/10/25,2022/08/30,212
0,0,0,1,185,0,0,0,0,-,yamaha rm50 rhythm sound module ,yosualogan,Cantabria,2022/05/07,2022/09/26,2022/08/30,644
0,0,0,1,220,0,0,0,0,-,euclidean circles + six switches expansion ,Hypnosia,Lugo,2022/08/23,2022/10/22,2022/08/30,116
0,0,0,1,50,0,0,0,0,-,modulo eurorack doepfer a-142-1 ,javi_randoom,Madrid,2022/08/09,2022/09/22,2022/08/30,1150
0,0,0,1,225,0,0,0,0,-,tiptop z-dsp + dragonfly delay broken silicon + error codes 1 ,Manuel B,Baleares,2021/03/13,2022/10/11,2022/08/30,1465
0,1,0,0,0,0,0,0,0,-,doepfer a-192-2 ,Wallace,La Rioja,2021/03/13,2022/10/24,2022/08/30,90
0,0,0,1,790,0,0,0,0,-,caja eurorack ,moog1406,Girona,2022/04/08,2022/09/08,2022/08/30,670
0,0,0,1,1000,0,0,0,0,-,novation supernova ii en teclado ,Albin Nox,Granada,2022/08/23,2022/10/22,2022/08/30,231
0,1,0,0,0,0,0,0,0,-,doepfer a-160-2 ,Wallace,La Rioja,2022/07/08,2022/09/24,2022/08/30,180
0,0,0,1,650,0,0,0,0,-,nord rack 1 ,Kaesar,Barcelona,2022/05/10,2022/10/10,2022/08/30,453
0,0,0,1,1450,0,0,0,0,-,novation summit ,Albertomf,Baleares,2022/07/17,2022/09/25,2022/08/30,298
0,0,0,1,300,0,0,1,0,-,waldorf blofeld negro + arturia minibrute para ,dCOP,Barcelona,2022/07/21,2022/09/19,2022/08/30,554
0,0,0,1,130,0,0,0,0,-,akai xe8 midi drum expander ,Samsimo,Madrid,2021/03/20,2022/09/09,2022/08/30,2049
0,0,0,1,465,0,0,0,0,-,roland system 1m ,moog1406,Girona,2021/09/01,2022/09/27,2022/08/30,609
0,0,0,1,200,0,0,0,0,-,twisted electrons acid 8 mkii ,guardabrazo,Madrid,2022/07/21,2022/09/19,2022/08/30,416
0,0,0,1,399,0,0,0,0,-,pedal de efecto neo ventilator ii ,thecurri,Cádiz,2022/07/18,2022/09/16,2022/08/30,183
0,0,0,1,90,0,0,0,0,-,doepfer a-106-1 xtreme filter ms20 ,instaljomar,Barcelona,2022/06/08,2022/09/27,2022/08/30,269
0,0,0,1,179,0,0,0,0,-,tarjeta srx02 concert piano de roland ,airbag2004,Toledo,2022/03/05,2022/09/13,2022/08/30,535
0,0,0,1,3249,0,0,0,0,-,buchla 208c easel command ,Storm,Bizkaia,2022/07/01,2022/09/01,2022/08/30,437
0,0,0,1,250,0,0,0,0,-,módulo de sonidos y efectos sm pro audio vmachine reproductor de pluggins vst ,franpa,Alicante,2022/07/02,2022/09/12,2022/08/30,538
0,0,0,1,50,0,0,0,0,-,behringer 2500 1033 envolvente ,FZappy,Barcelona,2022/06/22,2022/09/26,2022/08/30,566
0,0,0,1,300,0,0,0,0,-,roland r-8 2 unidades ,sergiommms,A Coruña,2022/06/22,2022/10/27,2022/08/30,87
0,0,0,1,75,0,0,0,0,-,"flightcase 19"" thon rack 5u eco ii compact 23 ",Mario,Cantabria,2022/07/22,2022/09/29,2022/08/30,320
